,Window,History,SVD rank,3
0,1,2,3,0.011763193248476071
1,1,2,4,0.012768031153389023
2,1,2,5,0.010630870763378347
3,1,2,6,0.023784811106459917
4,1,2,7,0.026333256892106915
5,1,2,8,0.1220106524765415
6,1,2,9,0.2969319692092026
7,1,2,10,0.3616058868146603
8,1,5,3,0.010395748692312492
9,1,5,4,0.01056108797143469
10,1,5,5,0.009170984139022063
11,1,5,6,0.019167513147981
12,1,5,7,0.011975514883041268
13,1,5,8,0.01015738318305515
14,1,5,9,0.018865172741277178
15,1,5,10,0.01561673140133207
16,1,7,3,0.010617198205680325
17,1,7,4,0.03041966015245826
18,1,7,5,0.013205060307981728
19,1,7,6,0.02415318913108297
20,1,7,7,0.020425246791120052
21,1,7,8,0.011310940246505113
22,1,7,9,0.026502496722121783
23,1,7,10,0.02582800458257116
24,1,10,3,0.010176170646779751
25,1,10,4,0.025079297995656828
26,1,10,5,0.021145565390249726
27,1,10,6,0.027433959846550497
28,1,10,7,0.026968385754075418
29,1,10,8,0.02225102131349596
30,1,10,9,0.022559518368620617
31,1,10,10,0.01154875490659071
32,5,2,3,0.011301279336743044
33,5,2,4,0.012314942699031571
34,5,2,5,0.01599993535971886
35,5,2,6,0.0330926424884057
36,5,2,7,0.028577506517980498
37,5,2,8,0.09047190584575393
38,5,2,9,0.17745226921933094
39,5,2,10,0.08610516972047226
40,5,5,3,0.009896556027290317
41,5,5,4,0.010037775493985834
42,5,5,5,0.008699670680203393
43,5,5,6,0.012451684450877326
44,5,5,7,0.01597882638662647
45,5,5,8,0.012271845143675552
46,5,5,9,0.009853768395713485
47,5,5,10,0.01641893585293414
48,5,7,3,0.010107331534047515
49,5,7,4,0.028215212827948078
50,5,7,5,0.009815692336853126
51,5,7,6,0.02840944238524014
52,5,7,7,0.018963334603934255
53,5,7,8,0.015800613514682746
54,5,7,9,0.011116644648450927
55,5,7,10,0.022292281766566134
56,5,10,3,0.009671365024238151
57,5,10,4,0.024497615792283836
58,5,10,5,0.009767713878594153
59,5,10,6,0.026499873165972326
60,5,10,7,0.02828866406292811
61,5,10,8,0.023132014681061987
62,5,10,9,0.02627362184322916
63,5,10,10,0.019994421588396996
64,10,2,3,0.010879489574789396
65,10,2,4,0.011930943113745127
66,10,2,5,0.009788942551327538
67,10,2,6,0.0264430052810684
68,10,2,7,0.037814809448565065
69,10,2,8,0.055649508785960505
70,10,2,9,0.02693675344048929
71,10,2,10,0.06342935492801934
72,10,5,3,0.0094275407473216
73,10,5,4,0.009542444491768887
74,10,5,5,0.008275526902426252
75,10,5,6,0.01959527401588467
76,10,5,7,0.009538745706130624
77,10,5,8,0.012561243959132452
78,10,5,9,0.016969576877397835
79,10,5,10,0.022275609420130286
80,10,7,3,0.009623601554809378
81,10,7,4,0.03198041496460784
82,10,7,5,0.01836801272654071
83,10,7,6,0.02825052027894615
84,10,7,7,0.023131131287010186
85,10,7,8,0.021431949944899803
86,10,7,9,0.014947104159922536
87,10,7,10,0.011884452654051234
88,10,10,3,0.009189004317441326
89,10,10,4,0.026431273512611424
90,10,10,5,0.016999209732408798
91,10,10,6,0.021907593697581294
92,10,10,7,0.024161982901840504
93,10,10,8,0.022764737888059793
94,10,10,9,0.025268761224423685
95,10,10,10,0.017331464030149252
96,20,2,3,0.010111852808348636
97,20,2,4,0.01126634748945277
98,20,2,5,0.009154233508209689
99,20,2,6,0.015162802861296735
100,20,2,7,0.010490619374122039
101,20,2,8,0.04008780214164733
102,20,2,9,0.1642132997171512
103,20,2,10,0.07212561792977962
104,20,5,3,0.00859614046556625
105,20,5,4,0.008669278238909449
106,20,5,5,0.007595244159753782
107,20,5,6,0.010063958399549093
108,20,5,7,0.010362445870260951
109,20,5,8,0.01083555187897109
110,20,5,9,0.015037705763265304
111,20,5,10,0.01031599467946923
112,20,7,3,0.008761849726388764
113,20,7,4,0.033252285520915546
114,20,7,5,0.01778808975225739
115,20,7,6,0.020177664149959213
116,20,7,7,0.02160112412421947
117,20,7,8,0.027187065228634295
118,20,7,9,0.01751719127879154
119,20,7,10,0.0112620744356076
120,20,10,3,0.008325500458403242
121,20,10,4,0.020862103498599224
122,20,10,5,0.017949688950396468
123,20,10,6,0.021473877469209965
124,20,10,7,0.02188280590731028
125,20,10,8,0.0230029742428288
126,20,10,9,0.0247553435716252
127,20,10,10,0.022639355017774088
