,Window,History,SVD rank,MSE,IIEE,MAE
0,1,2,2,0.05124359793094293,10089270.629882812,0.111395227301823
1,1,2,3,0.013176069388200111,2997694.3969726562,0.04285546347595783
2,1,2,4,0.01251850375650333,3394670.1049804688,0.04221774965733436
3,1,2,5,0.018688802663450226,3661350.7080078125,0.05221381647287534
4,1,2,6,0.010286216094434046,2447295.0744628906,0.035790746272963664
5,1,2,7,0.014804537899187434,3680569.4580078125,0.045409251317733296
6,1,2,8,0.0650352060168011,8353416.748046875,0.11129913943208361
7,1,2,9,0.013737820389906652,2666628.41796875,0.041438808626079224
8,1,2,10,0.016689476336483378,2485180.5114746094,0.04531363303393151
9,1,2,11,0.019982260439341152,2295239.5629882812,0.0435391895911077
10,1,2,12,0.0237053735295058,2436000.0610351562,0.05116340083804233
11,1,2,13,0.01596966396701786,2841076.3549804688,0.04228512535557237
12,1,2,14,0.03247532206844679,3154222.1069335938,0.0565496431250028
13,1,2,15,0.07033429317615687,7085545.0439453125,0.09266407096988694
14,1,2,16,0.044441600152861166,5766253.662109375,0.08020093186558933
15,1,2,17,0.07285043212766393,6717968.75,0.08950324625013531
16,1,2,18,0.05740428728413623,8232826.5380859375,0.10425918947160702
17,1,2,19,0.04533995824994202,5190482.7880859375,0.08226656409384202
18,1,2,20,0.05016401223438803,6870875.244140625,0.08341828110506253
19,1,5,2,0.05190762949142405,10001034.545898438,0.10685377343242869
20,1,5,3,0.042374252986540975,9597888.793945312,0.10002253326095574
21,1,5,4,0.013552171195075902,3273454.8950195312,0.04394589819302085
22,1,5,5,0.010846915218508075,1980840.3015136719,0.03431424303198508
23,1,5,6,0.01306378012751879,3875701.2939453125,0.04400417652671795
24,1,5,7,0.01154926638993532,2824343.8720703125,0.04032608336512605
25,1,5,8,0.04683085977544125,9217284.545898438,0.1006553017717716
26,1,5,9,0.03873234998387378,8037882.080078125,0.08356661329193388
27,1,5,10,0.0898384946400674,10198343.505859375,0.13331483069887481
28,1,5,11,0.10440458686459612,10497215.576171875,0.15310467421016608
29,1,5,12,0.061958759679740204,9037177.124023438,0.10916897076777449
30,1,5,13,0.035018948256313166,8805819.702148438,0.08253564474055838
31,1,5,14,0.06638028376088728,9506159.66796875,0.12045203591694519
